State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Minnesota,FY 2009,11691.000000000007,5410.000000000013,5998.999999999995,6283,1227.0000000000034,1137.0000000000034,660.0000000000033
Minnesota,FY 2010,10782,5063.000000000002,5680.999999999974,5718.999999999994,1074.0000000000068,1002.9999999999993,627.0000000000023
Minnesota,FY 2011,10711,5084.999999999997,5911,5625.999999999998,1142.9999999999989,960.9999999999998,571.9999999999994
Minnesota,FY 2012,10729,5329.999999999987,5948.0000000000155,5398.999999999993,1190.9999999999945,1008.0000000000002,519.9999999999983
Minnesota,FY 2013,11114,5641.000000000002,6058.999999999992,5472.999999999995,1219.0000000000014,1110.0000000000005,582.9999999999991
Minnesota,FY 2014,11564,6324.000000000041,6211.99999999996,5240.00000000001,1188.0000000000023,1126.0000000000005,642.0000000000017
Minnesota,FY 2015,12961,7610.000000000007,6911,5351.000000000009,1285.0000000000002,1224.999999999998,734.9999999999995
Minnesota,FY 2016,14581,8792.999999999984,7276.999999999975,5788.000000000006,1540.9999999999993,1456.9999999999989,899.0000000000013
Minnesota,FY 2017,15876,9651.000000000031,7408.000000000039,6225.000000000002,1989.9999999999993,1848.0000000000014,946.0000000000063
Minnesota,FY 2018,16042,9270.99999999994,6743.000000000025,6770.999999999974,2025.9999999999943,1851.999999999998,1284.0000000000036
Mississippi,FY 2009,5384,3320.000000000005,2107.000000000003,2064.000000000003,975.0000000000005,512.0000000000003,306.0000000000004
Mississippi,FY 2010,5887,3582.000000000001,2576.9999999999977,2305.000000000002,843.0000000000016,450.9999999999992,354.9999999999984
Mississippi,FY 2011,5955,3596.999999999993,2367.999999999995,2357.9999999999986,880.0000000000022,458.9999999999997,358.000000000001
Mississippi,FY 2012,5999,3699.0000000000055,2423.9999999999995,2300.0000000000027,954.9999999999962,387.99999999999966,425.00000000000244
Mississippi,FY 2013,6119,3779.000000000012,2509.0000000000005,2340.000000000001,1000.0000000000023,352.9999999999991,351.99999999999915
Mississippi,FY 2014,6766,4379.999999999986,3054.0000000000014,2386.0000000000023,1183.9999999999986,356.0000000000004,314.00000000000034
