created_date,tweet_text,lang
2019-12-03 12:10:52,"RT @AGAPENashville: Today is #GivingTuesday! All gifts made today will be matched up to $10,000! To double the impact of your gift, you can…",en
2019-12-03 01:35:05,A great story for children ages 4-8 to inspire resilience and courage through transitions. Buy one for yourself and… https://t.co/89k9E3ws5p,en
2019-11-30 09:10:40,RT @ipswich_beam: We never knew there was such a charity! Truly amazing. #siblings #mum #adoption #fostercare #forcedadoption https://t.co/…,en
2019-12-01 06:30:21,RT @colbypearce: Trauma-Informed: Adopting a Balanced View https://t.co/NXYhqEFQkw via @colbypearce #adoption #fostercare #kinshipcare #soc…,en
2019-12-01 11:06:38,"RT @dmills3710: #CPS #FamilyCourt #FosterCare #Adoption #MedicalKidnap 

                                         F.R.A.U.D.

“By seizing c…",en
2019-12-06 18:31:37,RT @BrianCarrollASP: The @AmSolidarity Party is #ProLife for the #WholeLife &amp; this means we are #ProFamily! We celebrate good news like thi…,en
2019-11-29 03:00:18,WOW! Check out all the interesting things I've found on #Pinterest! https://t.co/a8r5Hp73oO #fostercare #adoption,en
2019-12-06 16:58:40,@EHoward72823218 @jameelajamil Correct. I really wish ppl would stop conflating abortion and FosterCare system. Fos… https://t.co/vIGPrHhf1e,en
2019-12-04 03:50:54,"RT @AdoptUSKids: Despite the complexities open #adoption MAY bring, it is often in the best interests of the child to maintain some level o…",en
2019-12-02 18:52:58,"We'll be in St. Elizabeth TOMORROW!!
Come check out the #CPFSA booth at @nefjamaica1 Special Needs Expo, Alpart Spo… https://t.co/J6b8Yv4V3m",en
2019-11-28 20:40:41,"RT @TexasDFPS: Kids never outgrow the need for a family. Congratulations, Eric and Franklin family! #adoption #FosterCare #foreverfamilies…",en
2019-12-05 03:30:48,Attach Families is working hard to #educate and #advocate #adoption #fostercare #developmentaltraumadisorder #DTD… https://t.co/0anWi9bJ7S,en
2019-11-30 20:14:19,"Dear Trump Supporters, Yes Bill and Hillary Clinton flooded the FosterCare system and increased permanent severing… https://t.co/kaUoIABOvy",en
2019-12-03 07:53:38,"RT @DTFA: If 150 ppl make a gift to the Foundation before midnight on #GivingTuesday, City National Bank has generously pledged an addition…",en
2019-12-01 21:32:46,RT @schnaity: 🏳️‍🌈❤️ I love our #LGBTQFamily ❤️🏳️‍🌈 #FosterCare #Adoption https://t.co/4SqDPGi3kR,en
